onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0	6.0	active_change	miss	n/a	n/a
20.0	6.0	active_change	miss	n/a	n/a
26.0	6.0	active_nochange	miss	n/a	n/a
36.0	6.0	passive	miss	n/a	n/a
42.0	6.0	active_change	incorrect	0.8723000000000027	left
52.0	6.0	active_nochange	miss	n/a	n/a
60.0	6.0	active_change	correct	0.25369999999999493	right
66.0	6.0	active_nochange	miss	n/a	n/a
72.0	6.0	active_change	correct	0.7982999999999976	right
78.0	6.0	active_change	correct	0.8181000000000012	right
86.0	6.0	active_nochange	correct	0.2857999999999947	left
92.0	6.0	active_nochange	incorrect	0.8906000000000063	right
100.0	6.0	active_nochange	correct	0.303299999999993	left
106.0	6.0	passive	miss	n/a	n/a
112.0	6.0	active_change	incorrect	0.8789000000000016	left
118.0	6.0	active_nochange	correct	0.9377000000000066	left
126.0	6.0	passive	miss	n/a	n/a
134.0	6.0	active_nochange	miss	n/a	n/a
140.0	6.0	active_nochange	correct	0.1699000000000126	left
150.0	6.0	active_nochange	incorrect	0.9404999999999859	right
156.0	6.0	passive	miss	n/a	n/a
162.0	6.0	passive	miss	n/a	n/a
172.0	6.0	active_change	correct	0.8358000000000061	right
180.0	6.0	active_change	miss	n/a	n/a
188.0	6.0	active_nochange	correct	0.6502000000000123	left
194.0	6.0	active_change	miss	n/a	n/a
204.0	6.0	passive	miss	n/a	n/a
210.0	6.0	active_nochange	correct	0.6573999999999955	left
216.0	6.0	active_change	miss	n/a	n/a
222.0	6.0	active_change	correct	0.7069999999999936	right
228.0	6.0	active_nochange	correct	0.9447999999999865	left
238.0	6.0	active_change	miss	n/a	n/a
244.0	6.0	active_change	correct	0.6032999999999902	right
252.0	6.0	active_change	correct	0.8249999999999886	right
258.0	6.0	active_change	correct	0.7767000000000053	right
264.0	6.0	active_nochange	incorrect	0.6374999999999886	right
272.0	6.0	passive	miss	n/a	n/a
280.0	6.0	passive	miss	n/a	n/a
296.0	6.0	active_nochange	incorrect	0.7533999999999992	right
302.0	6.0	active_nochange	incorrect	0.9642000000000053	right
