onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0	6.0	active_change	miss	n/a	n/a
20.0	6.0	active_change	correct	0.09829999999999828	right
26.0	6.0	active_nochange	miss	n/a	n/a
36.0	6.0	passive	n/a	0.01290000000000191	left
42.0	6.0	active_change	incorrect	0.08270000000000266	left
52.0	6.0	active_nochange	miss	n/a	n/a
60.0	6.0	active_change	miss	n/a	n/a
66.0	6.0	active_nochange	miss	n/a	n/a
72.0	6.0	active_change	miss	n/a	n/a
78.0	6.0	active_change	correct	0.061800000000005184	right
86.0	6.0	active_nochange	correct	0.16859999999999786	left
92.0	6.0	active_nochange	miss	n/a	n/a
100.0	6.0	active_nochange	correct	0.19020000000000437	left
106.0	6.0	passive	n/a	0.04600000000000648	left
112.0	6.0	active_change	miss	n/a	n/a
118.0	6.0	active_nochange	correct	0.06669999999999732	left
126.0	6.0	passive	miss	n/a	n/a
134.0	6.0	active_nochange	correct	0.15729999999999222	left
140.0	6.0	active_nochange	correct	0.6580999999999904	left
150.0	6.0	active_nochange	correct	0.11889999999999645	left
156.0	6.0	passive	miss	n/a	n/a
162.0	6.0	passive	miss	n/a	n/a
172.0	6.0	active_change	incorrect	0.13929999999999154	left
180.0	6.0	active_change	miss	n/a	n/a
188.0	6.0	active_nochange	miss	n/a	n/a
194.0	6.0	active_change	incorrect	0.0016999999999995907	left
204.0	6.0	passive	n/a	0.6824000000000012	left
210.0	6.0	active_nochange	miss	n/a	n/a
216.0	6.0	active_change	miss	n/a	n/a
222.0	6.0	active_change	correct	0.20199999999999818	right
228.0	6.0	active_nochange	incorrect	0.17679999999998586	right
238.0	6.0	active_change	correct	0.29349999999999454	right
244.0	6.0	active_change	correct	0.06440000000000623	right
252.0	6.0	active_change	miss	n/a	n/a
258.0	6.0	active_change	correct	0.12700000000000955	right
264.0	6.0	active_nochange	miss	n/a	n/a
272.0	6.0	passive	n/a	0.6447000000000003	left
280.0	6.0	passive	miss	n/a	n/a
296.0	6.0	active_nochange	correct	0.49099999999998545	left
302.0	6.0	active_nochange	correct	0.4178999999999746	left
